source;target;pmid
A11.251.860;A11.251;34257609
A11.251.860;A11.251.860;34257609
A11.329.372.700;A11;34257573
A11.329.372.700;A11.329;34257573
A11.329.372.700;A11.329.372;34257573
A11.329.372.700;A11.329.372.700;34257573
A11.627.482.700;A11;34257573
A11.627.482.700;A11.627;34257573
A11.627.482.700;A11.627.482;34257573
A11.627.482.700;A11.627.482.700;34257573
A02.835.232.043.150;A02;34212773
A02.835.232.043.150;A02.835;34212773
A02.835.232.043.150;A02.835.232;34212773
A02.835.232.043.150;A02.835.232.043;34212773
A02.835.232.043.150;A02.835.232.043.150;34212773
A01.941.500;A01;34176896
A01.941.500;A01.941;34176896
A01.941.500;A01.941.500;34176896
A01.941.750;A01;34176896
A01.941.750;A01.941;34176896
A01.941.750;A01.941.750;34176896
A02.835.583.475;A02;34176896
A02.835.583.475;A02.835;34176896
A02.835.583.475;A02.835.583;34176896
A02.835.583.475;A02.835.583.475;34176896
A15.382.216;A15;34175562
A15.382.216;A15.382;34175562
A15.382.216;A15.382.216;34175562
A11.329.830.500;A11;34175562
A11.329.830.500;A11.329;34175562
A11.329.830.500;A11.329.830;34175562
A11.329.830.500;A11.329.830.500;34175562
A11.872.590.500;A11;34175562
A11.872.590.500;A11.872;34175562
A11.872.590.500;A11.872.590;34175562
A11.872.590.500;A11.872.590.500;34175562
A11.329.830;A11;34175562
A11.329.830;A11.329;34175562
A11.329.830;A11.329.830;34175562
A02.835.232;A02;34096319
A02.835.232;A02.835;34096319
A02.835.232;A02.835.232;34096319
A10.165.265;A10;34096319
A10.165.265;A10.165;34096319
A10.165.265;A10.165.265;34096319
A07.015.114.056;A07;34086401
A07.015.114.056;A07.015;34086401
A07.015.114.056;A07.015.114;34086401
A07.015.114.056;A07.015.114.056;34086401
A02.835.232.834.519;A02;34086401
A02.835.232.834.519;A02.835;34086401
A02.835.232.834.519;A02.835.232;34086401
A02.835.232.834.519;A02.835.232.834;34086401
A02.835.232.834.519;A02.835.232.834.519;34086401
A02.835.232.570.500;A02;34059614
A02.835.232.570.500;A02.835;34059614
A02.835.232.570.500;A02.835.232;34059614
A02.835.232.570.500;A02.835.232.570;34059614
A02.835.232.570.500;A02.835.232.570.500;34059614
A02.835.232;A02;33991114
A02.835.232;A02.835;33991114
A02.835.232;A02.835.232;33991114
A10.165.265;A10;33991114
A10.165.265;A10.165;33991114
A10.165.265;A10.165.265;33991114
A11.500;A11;33991114
A11.500;A11.500;33991114
A02.835.232.087.090.700;A02;33986222
A02.835.232.087.090.700;A02.835;33986222
A02.835.232.087.090.700;A02.835.232;33986222
A02.835.232.087.090.700;A02.835.232.087;33986222
A02.835.232.087.090.700;A02.835.232.087.090;33986222
A02.835.232.087.090.700;A02.835.232.087.090.700;33986222
A02.835.232.834.151;A02;33972102
A02.835.232.834.151;A02.835;33972102
A02.835.232.834.151;A02.835.232;33972102
A02.835.232.834.151;A02.835.232.834;33972102
A02.835.232.834.151;A02.835.232.834.151;33972102
A11.500;A11;33972102
A11.500;A11.500;33972102
A01.598;A01;33972102
A01.598;A01.598;33972102
A02.835.232.834;A02;33972102
A02.835.232.834;A02.835;33972102
A02.835.232.834;A02.835.232;33972102
A02.835.232.834;A02.835.232.834;33972102
A02.835.232;A02;33958292
A02.835.232;A02.835;33958292
A02.835.232;A02.835.232;33958292
A10.165.265;A10;33958292
A10.165.265;A10.165;33958292
A10.165.265;A10.165.265;33958292
A01.378.610.050;A01;33957529
A01.378.610.050;A01.378;33957529
A01.378.610.050;A01.378.610;33957529
A01.378.610.050;A01.378.610.050;33957529
A02.835.232.043.300;A02;33957529
A02.835.232.043.300;A02.835;33957529
A02.835.232.043.300;A02.835.232;33957529
A02.835.232.043.300;A02.835.232.043;33957529
A02.835.232.043.300;A02.835.232.043.300;33957529
A01.941.750;A01;33926481
A01.941.750;A01.941;33926481
A01.941.750;A01.941.750;33926481
A02.835.232.043.650.883;A02;33926481
A02.835.232.043.650.883;A02.835;33926481
A02.835.232.043.650.883;A02.835.232;33926481
A02.835.232.043.650.883;A02.835.232.043;33926481
A02.835.232.043.650.883;A02.835.232.043.650;33926481
A02.835.232.043.650.883;A02.835.232.043.650.883;33926481
A02.835.232.834;A02;33910414
A02.835.232.834;A02.835;33910414
