source;target;pmid
A07.541.358.100;A07.541.358;36052914
A07.541.358.100;A07.541.358.100;36052914
A07.541.358;A07;36052914
A07.541.358;A07.541;36052914
A07.541.358;A07.541.358;36052914
A11.251.210.190;A11;36047196
A11.251.210.190;A11.251;36047196
A11.251.210.190;A11.251.210;36047196
A11.251.210.190;A11.251.210.190;36047196
A11.251.860.180;A11;36047196
A11.251.860.180;A11.251;36047196
A11.251.860.180;A11.251.860;36047196
A11.251.860.180;A11.251.860.180;36047196
A11.251.210.190;A11;36046839
A11.251.210.190;A11.251;36046839
A11.251.210.190;A11.251.210;36046839
A11.251.210.190;A11.251.210.190;36046839
A11.251.860.180;A11;36046839
A11.251.860.180;A11.251;36046839
A11.251.860.180;A11.251.860;36046839
A11.251.860.180;A11.251.860.180;36046839
A11.284.430.106.279.345.190.160.180.625;A11;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430.106;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430.106.279;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430.106.279.345;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430.106.279.345.190;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430.106.279.345.190.160;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430.106.279.345.190.160.180;36045415
A11.284.430.106.279.345.190.160.180.625;A11.284.430.106.279.345.190.160.180.625;36045415
A11.251.210.190;A11;36042349
A11.251.210.190;A11.251;36042349
A11.251.210.190;A11.251.210;36042349
A11.251.210.190;A11.251.210.190;36042349
A11.251.860.180;A11;36042349
A11.251.860.180;A11.251;36042349
A11.251.860.180;A11.251.860;36042349
A11.251.860.180;A11.251.860.180;36042349
A11.251.210.190;A11;36042341
A11.251.210.190;A11.251;36042341
A11.251.210.190;A11.251.210;36042341
A11.251.210.190;A11.251.210.190;36042341
A11.251.860.180;A11;36042341
A11.251.860.180;A11.251;36042341
A11.251.860.180;A11.251.860;36042341
A11.251.860.180;A11.251.860.180;36042341
A11.251.210.190;A11;36041590
A11.251.210.190;A11.251;36041590
A11.251.210.190;A11.251.210;36041590
A11.251.210.190;A11.251.210.190;36041590
A11.251.860.180;A11;36041590
A11.251.860.180;A11.251;36041590
A11.251.860.180;A11.251.860;36041590
A11.251.860.180;A11.251.860.180;36041590
A11.251.210.190;A11;36041209
A11.251.210.190;A11.251;36041209
A11.251.210.190;A11.251.210;36041209
A11.251.210.190;A11.251.210.190;36041209
A11.251.860.180;A11;36041209
A11.251.860.180;A11.251;36041209
A11.251.860.180;A11.251.860;36041209
A11.251.860.180;A11.251.860.180;36041209
A11.251.210.190;A11;36039444
A11.251.210.190;A11.251;36039444
A11.251.210.190;A11.251.210;36039444
A11.251.210.190;A11.251.210.190;36039444
A11.251.860.180;A11;36039444
A11.251.860.180;A11.251;36039444
A11.251.860.180;A11.251.860;36039444
A11.251.860.180;A11.251.860.180;36039444
A11.251.210.190;A11;36039427
A11.251.210.190;A11.251;36039427
A11.251.210.190;A11.251.210;36039427
A11.251.210.190;A11.251.210.190;36039427
A11.251.860.180;A11;36039427
A11.251.860.180;A11.251;36039427
A11.251.860.180;A11.251.860;36039427
A11.251.860.180;A11.251.860.180;36039427
A11.251.210.190;A11;36038837
A11.251.210.190;A11.251;36038837
A11.251.210.190;A11.251.210;36038837
A11.251.210.190;A11.251.210.190;36038837
A11.251.860.180;A11;36038837
A11.251.860.180;A11.251;36038837
A11.251.860.180;A11.251.860;36038837
A11.251.860.180;A11.251.860.180;36038837
A11.251.210.190;A11;36035366
A11.251.210.190;A11.251;36035366
A11.251.210.190;A11.251.210;36035366
A11.251.210.190;A11.251.210.190;36035366
A11.251.860.180;A11;36035366
A11.251.860.180;A11.251;36035366
A11.251.860.180;A11.251.860;36035366
